Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Vehicle Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13-15,16-20,21-25,26-30,31-60,60+,Total Vehicles,Average Age of Fleet (in Years),Average Lifetime Miles per Vehicle
"Government of Guam-Guam Regional Transit Authority, dba: Guam Public Transit System",Upper Tumon,GU,90999,Government Unit or Department of Transportation,Rural Reporter,66,Guam Non-UZA,"25,672",14,Minivan,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,14,7.14,0
"Government of Guam-Guam Regional Transit Authority, dba: Guam Public Transit System",Upper Tumon,GU,90999,Government Unit or Department of Transportation,Rural Reporter,66,Guam Non-UZA,"25,672",14,Cutaway,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,14,5.93,0
Humboldt Transit Authority,Eureka,CA,91036,Public Agency or Authority of Transit Service,Rural Reporter,,,,14,Trucks and other Rubber Tire Vehicles (Service),0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,,
Humboldt Transit Authority,Eureka,CA,91036,Public Agency or Authority of Transit Service,Rural Reporter,,,,14,Cutaway,0,0,0,3,1,2,1,7,0,0,0,0,0,0,0,0,0,0,0,14,5.57,0
Humboldt Transit Authority,Eureka,CA,91036,Public Agency or Authority of Transit Service,Rural Reporter,,,,14,Bus,0,0,0,0,1,1,0,4,5,0,2,2,0,0,0,0,0,0,0,15,7.93,0
Humboldt Transit Authority,Eureka,CA,91036,Public Agency or Authority of Transit Service,Rural Reporter,,,,14,Automobiles (Service),0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,5,,
Tehama County,Gerber,CA,91089,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,
Tehama County,Gerber,CA,91089,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Minivan,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,11.00,0
Tehama County,Gerber,CA,91089,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,0,0,5,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,3.60,0
Tehama County,Gerber,CA,91089,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Bus,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.50,0
Tehama County,Gerber,CA,91089,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Automobiles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,
"Hopi Tribe, dba: Hopi Senom Transit",Kykotsmovi Village,AZ,99382,Tribe,Reduced Reporter,4,Arizona Non-UZA,"1,296,856",14,Van,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2.67,0
"Hopi Tribe, dba: Hopi Senom Transit",Kykotsmovi Village,AZ,99382,Tribe,Reduced Reporter,4,Arizona Non-UZA,"1,296,856",14,Trucks and other Rubber Tire Vehicles (Service),0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,
"Hopi Tribe, dba: Hopi Senom Transit",Kykotsmovi Village,AZ,99382,Tribe,Reduced Reporter,4,Arizona Non-UZA,"1,296,856",14,Sports Utility Vehicle,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3.33,0
"Hopi Tribe, dba: Hopi Senom Transit",Kykotsmovi Village,AZ,99382,Tribe,Reduced Reporter,4,Arizona Non-UZA,"1,296,856",14,Minivan,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.00,0
"Hopi Tribe, dba: Hopi Senom Transit",Kykotsmovi Village,AZ,99382,Tribe,Reduced Reporter,4,Arizona Non-UZA,"1,296,856",14,Cutaway,0,2,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,10,3.90,0
Asotin County,Clarkston,WA,00051,County or Local Government Unit or Department of Transportation,Reduced Reporter,49312,"Lewiston, ID--WA","54,798",13,Van,0,0,0,6,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,13,5.62,"61,821"
Asotin County,Clarkston,WA,00051,County or Local Government Unit or Department of Transportation,Reduced Reporter,49312,"Lewiston, ID--WA","54,798",13,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,,
Asotin County,Clarkston,WA,00051,County or Local Government Unit or Department of Transportation,Reduced Reporter,49312,"Lewiston, ID--WA","54,798",13,Cutaway,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.50,"106,168"
Asotin County,Clarkston,WA,00051,County or Local Government Unit or Department of Transportation,Reduced Reporter,49312,"Lewiston, ID--WA","54,798",13,Bus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8.00,"129,642"
Lincoln County Transportation Service District,Newport,OR,00310,Public Agency or Authority of Transit Service,Rural Reporter,,,,13,Cutaway,0,5,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2.88,0
Okanogan Transit,Omak,WA,00405,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Van,6,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,14,3.64,0
Okanogan Transit,Omak,WA,00405,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Cutaway,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,10,6.60,0
Connecticut Department of Transportation -CTTRANSIT New Britain,Berlin,CT,10130,Provider Reporting on Behalf of a Public Entity,Full Reporter,37243,"Hartford, CT","977,158",13,Bus,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,12.00,"589,436"
Windham Region Transit District,Mansfield Center,CT,10149,Public Agency or Authority of Transit Service,Reduced Reporter,37243,"Hartford, CT","977,158",13,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,4,,
Windham Region Transit District,Mansfield Center,CT,10149,Public Agency or Authority of Transit Service,Reduced Reporter,37243,"Hartford, CT","977,158",13,Cutaway,0,7,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,15,3.40,"76,791"
Windham Region Transit District,Mansfield Center,CT,10149,Public Agency or Authority of Transit Service,Reduced Reporter,37243,"Hartford, CT","977,158",13,Bus,0,3,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,10,7.50,"197,693"
New York City Department of Transportation,New York,NY,20082,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,Trucks and other Rubber Tire Vehicles (Service),0,1,0,0,3,3,4,3,6,3,2,3,0,9,3,4,0,1,0,45,,
New York City Department of Transportation,New York,NY,20082,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,Ferryboat,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,9,23.89,"660,786"
New York City Department of Transportation,New York,NY,20082,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,Automobiles (Service),0,0,0,0,0,1,0,3,0,6,0,8,0,1,1,0,0,0,0,20,,
"Putnam County , dba: Putnam Area Rapid Transit",Carmel,NY,20096,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,Minivan,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.00,"21,722"
"Putnam County , dba: Putnam Area Rapid Transit",Carmel,NY,20096,County or Local Government Unit or Department of Transportation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,Cutaway,2,0,0,1,4,8,0,0,0,0,0,0,0,0,2,0,0,0,0,17,5.35,"258,667"
"Community Transit, Inc.",Paramus,NJ,20160,Corporation,Reduced Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,Over-the-road Bus,0,0,0,0,0,0,20,0,0,0,0,0,0,1,1,0,0,0,0,22,7.00,"344,721"
"Adirondack Transit Lines, Inc,",Hurley,NY,20177,Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,Trucks and other Rubber Tire Vehicles (Service),0,5,5,3,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,19,,
"Adirondack Transit Lines, Inc,",Hurley,NY,20177,Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,Over-the-road Bus,10,0,4,2,2,9,6,2,2,5,9,11,4,21,5,0,0,0,0,92,8.92,"565,995"
"Adirondack Transit Lines, Inc,",Hurley,NY,20177,Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",13,Automobiles (Service),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Village of Kiryas Joel,Monroe,NY,20187,County or Local Government Unit or Department of Transportation,Reduced Reporter,45443,"Kiryas Joel, NY","71,582",13,Cutaway,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.00,"48,519"
Village of Kiryas Joel,Monroe,NY,20187,County or Local Government Unit or Department of Transportation,Reduced Reporter,45443,"Kiryas Joel, NY","71,582",13,Bus,2,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,11,5.45,"107,890"
RTS Livingston,Rochester,NY,20962,Public Agency or Authority of Transit Service,Rural Reporter,,,,13,Cutaway,2,0,0,0,3,0,9,0,4,0,0,0,0,0,0,0,0,0,0,18,5.44,0
"Mid-Ohio Valley Transit Authority, dba: Easy Rider",Parkersburg,WV,30003,Public Agency or Authority of Transit Service,Reduced Reporter,67672,"Parkersburg, WV--OH","62,500",13,Trucks and other Rubber Tire Vehicles (Service),0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,5,,
"Mid-Ohio Valley Transit Authority, dba: Easy Rider",Parkersburg,WV,30003,Public Agency or Authority of Transit Service,Reduced Reporter,67672,"Parkersburg, WV--OH","62,500",13,Minivan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.00,"22,488"
"Mid-Ohio Valley Transit Authority, dba: Easy Rider",Parkersburg,WV,30003,Public Agency or Authority of Transit Service,Reduced Reporter,67672,"Parkersburg, WV--OH","62,500",13,Cutaway,0,5,5,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,2.90,"72,475"
"Garrett County Community Action Committee, Inc",Oakland,MD,30117,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Van,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.00,0
"Garrett County Community Action Committee, Inc",Oakland,MD,30117,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,
"Garrett County Community Action Committee, Inc",Oakland,MD,30117,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Cutaway,0,0,2,2,3,8,0,0,2,0,1,0,0,0,0,0,0,0,0,18,4.89,0
Queen Anne's County Department of Aging,Centreville,MD,30192,County or Local Government Unit or Department of Transportation,Reduced Reporter,4843,"Baltimore, MD","2,212,038",13,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,
Queen Anne's County Department of Aging,Centreville,MD,30192,County or Local Government Unit or Department of Transportation,Reduced Reporter,4843,"Baltimore, MD","2,212,038",13,Minivan,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.75,"53,345"
Queen Anne's County Department of Aging,Centreville,MD,30192,County or Local Government Unit or Department of Transportation,Reduced Reporter,4843,"Baltimore, MD","2,212,038",13,Cutaway,0,0,1,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,6.89,"180,635"
Queen Anne's County Department of Aging,Centreville,MD,30192,County or Local Government Unit or Department of Transportation,Reduced Reporter,4843,"Baltimore, MD","2,212,038",13,Bus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12.00,"275,328"
"City of Kingsport, dba: Kingsport Area Transit Service",Kingsport,TN,40080,County or Local Government Unit or Department of Transportation,Reduced Reporter,45235,"Kingsport, TN--VA","98,411",13,Van,0,0,2,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,10,4.20,"57,402"
"City of Kingsport, dba: Kingsport Area Transit Service",Kingsport,TN,40080,County or Local Government Unit or Department of Transportation,Reduced Reporter,45235,"Kingsport, TN--VA","98,411",13,Cutaway,0,0,0,4,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,11,7.00,"136,355"
"City of Kingsport, dba: Kingsport Area Transit Service",Kingsport,TN,40080,County or Local Government Unit or Department of Transportation,Reduced Reporter,45235,"Kingsport, TN--VA","98,411",13,Automobiles (Service),0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,,
Puerto Rico Maritime Transport Authority,San Juan,PR,40175,County or Local Government Unit or Department of Transportation,Full Reporter,79093,"San Juan, PR","1,844,410",13,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,2,1,0,0,0,11,0,1,2,0,0,1,0,18,,
Puerto Rico Maritime Transport Authority,San Juan,PR,40175,County or Local Government Unit or Department of Transportation,Full Reporter,79093,"San Juan, PR","1,844,410",13,Ferryboat,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,5,0,13,22.77,0
"Autauga County Commission, dba: Autauga County Rural Transportation",Prattville,AL,40213,County or Local Government Unit or Department of Transportation,Reduced Reporter,58600,"Montgomery, AL","254,348",13,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
"Autauga County Commission, dba: Autauga County Rural Transportation",Prattville,AL,40213,County or Local Government Unit or Department of Transportation,Reduced Reporter,58600,"Montgomery, AL","254,348",13,Cutaway,0,0,0,0,5,0,0,3,0,0,0,0,3,1,0,0,0,0,0,12,7.67,"165,985"
Gaston County,Gastonia,NC,40221,County or Local Government Unit or Department of Transportation,Reduced Reporter,32653,"Gastonia, NC","176,897",13,Van,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,"151,739"
Gaston County,Gastonia,NC,40221,County or Local Government Unit or Department of Transportation,Reduced Reporter,32653,"Gastonia, NC","176,897",13,Minivan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,"69,742"
Gaston County,Gastonia,NC,40221,County or Local Government Unit or Department of Transportation,Reduced Reporter,32653,"Gastonia, NC","176,897",13,Cutaway,0,0,3,5,2,2,2,2,0,2,0,0,1,0,0,0,0,0,0,19,5.00,"98,780"
Gaston County,Gastonia,NC,40221,County or Local Government Unit or Department of Transportation,Reduced Reporter,32653,"Gastonia, NC","176,897",13,Automobiles (Service),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,
Rockingham County Council on Aging,Reidsville,NC,40929,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Van,0,0,5,7,4,5,4,2,0,0,0,0,0,0,0,0,0,0,0,27,4.07,0
Rockingham County Council on Aging,Reidsville,NC,40929,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Cutaway,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.00,0
Rockingham County Council on Aging,Reidsville,NC,40929,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Automobiles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,,
Hinds County Human Resource Agency,Jackson,MS,40955,Corporation,Rural Reporter,,,,13,Van,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,4,9.25,0
Hinds County Human Resource Agency,Jackson,MS,40955,Corporation,Rural Reporter,,,,13,Minivan,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6.00,0
Hinds County Human Resource Agency,Jackson,MS,40955,Corporation,Rural Reporter,,,,13,Cutaway,0,1,0,2,0,1,1,0,0,2,0,0,4,3,0,0,0,0,0,14,8.86,0
Owen County Fiscal Court,Owenton,KY,40997,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Van,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4.71,0
Owen County Fiscal Court,Owenton,KY,40997,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Sports Utility Vehicle,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.00,0
Owen County Fiscal Court,Owenton,KY,40997,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Minivan,0,0,0,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,8,5.12,0
Owen County Fiscal Court,Owenton,KY,40997,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Cutaway,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5.33,0
"Beaufort County Developmental Center, Inc.",Washington,NC,41034,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Van,0,0,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,8,4.75,0
"Beaufort County Developmental Center, Inc.",Washington,NC,41034,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Minivan,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.00,0
"Beaufort County Developmental Center, Inc.",Washington,NC,41034,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Cutaway,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.00,0
McCormick County Senior Center,Mccormick,SC,41042,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Van,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.33,0
McCormick County Senior Center,Mccormick,SC,41042,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Minivan,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6.00,0
McCormick County Senior Center,Mccormick,SC,41042,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Cutaway,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,7,5.57,0
"Forsyth County Board of Commissioners, dba: Access Forsyth",Cumming,GA,41088,County or Local Government Unit or Department of Transportation,Reduced Reporter,3817,"Atlanta, GA","5,100,112",13,Van,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.50,"17,496"
"Forsyth County Board of Commissioners, dba: Access Forsyth",Cumming,GA,41088,County or Local Government Unit or Department of Transportation,Reduced Reporter,3817,"Atlanta, GA","5,100,112",13,Cutaway,0,0,0,3,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,13,4.15,"92,781"
Lenoir County,Kinston,NC,41162,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Van,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4.75,0
Lenoir County,Kinston,NC,41162,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Minivan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,0
Lenoir County,Kinston,NC,41162,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Cutaway,0,1,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3.46,0
"Mount Zion Economic Community Center, Inc.",Summit,MS,44946,Corporation,Rural Reporter,,,,13,Van,0,2,1,1,0,3,0,0,2,1,0,0,0,1,0,0,0,0,0,11,5.64,0
"Mount Zion Economic Community Center, Inc.",Summit,MS,44946,Corporation,Rural Reporter,,,,13,Minivan,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.00,0
"Mount Zion Economic Community Center, Inc.",Summit,MS,44946,Corporation,Rural Reporter,,,,13,Cutaway,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,9.50,0
"Mount Zion Economic Community Center, Inc.",Summit,MS,44946,Corporation,Rural Reporter,,,,13,Bus,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,7.00,0
"City of Springfield, Ohio, dba: Springfield City Area Transit",Springfield,OH,50020,County or Local Government Unit or Department of Transportation,Reduced Reporter,83980,"Springfield, OH","82,369",13,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,,
"City of Springfield, Ohio, dba: Springfield City Area Transit",Springfield,OH,50020,County or Local Government Unit or Department of Transportation,Reduced Reporter,83980,"Springfield, OH","82,369",13,Cutaway,0,4,1,0,1,0,0,0,1,1,0,0,1,5,0,0,0,0,0,14,7.79,"113,683"
"City of Springfield, Ohio, dba: Springfield City Area Transit",Springfield,OH,50020,County or Local Government Unit or Department of Transportation,Reduced Reporter,83980,"Springfield, OH","82,369",13,Bus,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,8.80,"172,254"
"City of Springfield, Ohio, dba: Springfield City Area Transit",Springfield,OH,50020,County or Local Government Unit or Department of Transportation,Reduced Reporter,83980,"Springfield, OH","82,369",13,Automobiles (Service),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
"City of Valparaiso, dba: Valpo",Valparaiso,IN,50183,County or Local Government Unit or Department of Transportation,Reduced Reporter,90095,"Valparaiso--Shorewood Forest, IN","51,867",13,Over-the-road Bus,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,5,11.40,"297,061"
"City of Valparaiso, dba: Valpo",Valparaiso,IN,50183,County or Local Government Unit or Department of Transportation,Reduced Reporter,90095,"Valparaiso--Shorewood Forest, IN","51,867",13,Minivan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12.00,"4,843"
"City of Valparaiso, dba: Valpo",Valparaiso,IN,50183,County or Local Government Unit or Department of Transportation,Reduced Reporter,90095,"Valparaiso--Shorewood Forest, IN","51,867",13,Cutaway,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,3.86,"201,693"
Branch Area Transit Authority,Coldwater,MI,50337,Public Agency or Authority of Transit Service,Rural Reporter,,,,13,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,
Branch Area Transit Authority,Coldwater,MI,50337,Public Agency or Authority of Transit Service,Rural Reporter,,,,13,Cutaway,0,0,2,2,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,10,7.20,0
Branch Area Transit Authority,Coldwater,MI,50337,Public Agency or Authority of Transit Service,Rural Reporter,,,,13,Bus,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5.20,0
Branch Area Transit Authority,Coldwater,MI,50337,Public Agency or Authority of Transit Service,Rural Reporter,,,,13,Automobiles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,
SEMCAC,Rushford,MN,50428,Public Agency or Authority of Transit Service,Rural Reporter,,,,13,Cutaway,0,0,0,1,0,3,1,5,1,0,1,2,1,0,0,0,0,0,0,15,7.40,0
City of Beaver Dam,Beaver Dam,WI,50466,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Minivan,0,0,5,0,0,1,0,1,5,0,0,1,0,0,0,0,0,0,0,13,5.62,0
City of Beaver Dam,Beaver Dam,WI,50466,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,13,Cutaway,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,8.50,0
Western-Washtenaw Area Value Express,Chelsea,MI,55322,Corporation,Rural Reporter,,,,13,Van,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,0
